"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"KDM5D",527.715719645397,-7.71625294454711,0.155934400539712,-49.4839683728543,0,0
"DDX3Y",609.143065208705,-7.73793598348274,0.157225762965943,-49.215445595636,0,0
"ZFY",176.115522054418,-8.62055935593674,0.155182897221657,-55.5509628333815,0,0
"LHX5",5.29891090955235,-1.03329631641575,0.259872740052753,-3.97616277954355,7.0036194662204e-05,0.00734979837126501
"TBL1Y",3.21339893057172,-4.89208453077234,0.315891595017079,-15.4865928943372,4.27345361719835e-54,5.41255004688605e-51
"PCDH11Y",1.04414487423451,-2.84709640390622,0.374548078329178,-7.60141773148814,2.92903952716786e-14,2.06891580447837e-11
"PRKY",175.127051410466,-7.02298353227037,0.142472113423738,-49.2937415154554,0,0
"PAK5",2.37795616315324,-1.34534606904574,0.358375329895458,-3.75401417680785,0.000174025014558008,0.0136872350850442
"EYA1",56.6113596005141,-1.07325774351939,0.19435540569803,-5.52213991509406,3.34895633058176e-08,1.29481227391861e-05
"USP9Y",187.989297319707,-7.76138113391677,0.166078306091903,-46.7332628598816,0,0
"SLC17A3",1.0502339504782,-1.36191741351321,0.288892067057989,-4.71427764487503,2.42569726038233e-06,0.000578544547882097
"BPIFB1",4.0710069183269,-1.12133337932146,0.339376731736797,-3.30409622835046,0.00095283120440619,0.0406947559742318
"RPS4Y1",3357.81555660707,-7.38025664549296,0.187459841784964,-39.3698008875888,0,0
"LBP",22.3225835307099,-1.20808855227136,0.191474342201933,-6.309401763069,2.80116097927979e-10,1.37182190358596e-07
"TXLNGY",570.402320807393,-8.14695949764532,0.17601625076926,-46.2852689001153,0,0
"RNF17",1.73467281034756,-1.00488083572211,0.267893498403312,-3.75104600041196,0.000176098384866327,0.0137743572013275
"NTS",61.5234642688009,-1.08970166835093,0.254585449550145,-4.28029830564334,1.86642971072216e-05,0.00282115075205041
"NDST4",1.50203406131467,-1.18560719637471,0.310401108651097,-3.81959717066403,0.000133669794281903,0.0119748574243276
"PADI3",80.5358697967562,-1.46469630795759,0.224264962433491,-6.53109737724618,6.52895302089856e-11,3.42583492082292e-08
"PROK1",1.19379877361835,-1.07927113595097,0.29801624570147,-3.62151779145657,0.000292879659237946,0.0195235388090921
"S100A7",4.73070590878318,-1.02879526137253,0.278513710924838,-3.69387653468224,0.000220861069284,0.0159689509346483
"FAM81B",1.09706723004639,-1.0164478234145,0.272054480690144,-3.73619218046322,0.000186827903445975,0.0143260728467029
"TMSB4Y",88.0735823474879,-6.50253984691713,0.155516481695262,-41.8125447285966,0,0
"PPBP",175.26858314545,-1.27467684667405,0.237362785756495,-5.37016298747738,7.86655124406427e-08,2.67368011100404e-05
"ETNPPL",0.832882974813121,-1.24658704647375,0.353589368451857,-3.5255218558515,0.000422649300238523,0.0245243424925133
"TLX3",3.33530987286705,-1.16260534595118,0.334619525755745,-3.4744097593391,0.000511978541339478,0.0275482708497145
"TBXT",3.93537185235497,-1.78320551437291,0.329893098657702,-5.40540411917853,6.46624341136803e-08,2.30587495630629e-05
"NKX6-3",14.2877571737023,-1.97315901061548,0.325600761976473,-6.06005648954242,1.36073751069693e-09,6.32656819846815e-07
"NLGN4Y",41.2843231742707,-7.24978823585292,0.169631838982522,-42.7383696323653,0,0
"AC126323.1",1.36081282910539,-1.28003048567701,0.349607274133998,-3.66133825117836,0.000250901243837077,0.0174537929661664
"SFTPC",1.99193322342636,-1.42995966337356,0.377980587598476,-3.78315635852861,0.000154852068108025,0.0131714700522221
"SFTPB",16.9157587332378,-1.27103428911703,0.222615197042185,-5.70955759537016,1.13270221362303e-08,4.89460615369104e-06
"CALCB",22.6215127201307,-1.15713788678685,0.278260825975142,-4.15846493207138,3.20393406090054e-05,0.00440184235994544
"AL033381.1",1.69146681664277,-1.24596874043909,0.240447254596343,-5.18187967057803,2.19660913952768e-07,7.07732049954838e-05
"TTTY14",17.8983275353786,-6.98452067039784,0.207549866613892,-33.6522532360439,2.89005832095426e-248,6.24422600756764e-245
"PPP1R42",0.747351942241857,-1.18896450299165,0.288058818424439,-4.12750600552617,3.66718857440526e-05,0.00478446660689226
"CALML5",1.7342651016798,-1.335721491933,0.359332028016468,-3.71723472384652,0.000201415296655601,0.0149463550201125
"PRORY",11.5153699123152,-6.72905076205854,0.264389998097509,-25.4512304189995,6.84152103470256e-143,1.32257404002434e-139
"UTY",242.632402404027,-8.00369263251307,0.16564068825142,-48.3196050258168,0,0
"IL1RAPL2",1.76135008343487,-1.29785981164344,0.348873685819147,-3.72014245957271,0.000199110434892561,0.0148644842959426
"EIF1AY",382.776736465573,-8.43051148978953,0.16859280811413,-50.0051667926572,0,0
"RNU5F-1",3.82855122428718,-1.44098727826759,0.314933873371277,-4.57552330856708,4.75031072017568e-06,0.00102034451901785
"RNA5SP191",1.38212441769226,-3.33163005420113,0.947525771054077,-3.51613661177242,0.000437875615247439,0.025051668766415
"RNA5SP226",1.3823897721288,-1.96009162541204,0.608397917430036,-3.221726388696,0.00127420753279431,0.0485494218667375
"RNU6-315P",1.07484477799338,-1.11848213376563,0.33277786216238,-3.36104729592818,0.000776475282165863,0.0361831463741974
"RN7SKP74",2.41652791430638,-1.49662078480082,0.296342207507035,-5.0503126010671,4.4108764373028e-07,0.000129336343246898
"RNA5SP145",1.49918665908112,-2.70011504740449,0.53807037440046,-5.01814479270127,5.21728500746302e-07,0.000149423085067673
"SNORA71D",7.54174229838757,-1.65196770252986,0.308827129489836,-5.34916639369996,8.83602756833694e-08,2.95042993259105e-05
"RNA5-8SP2",2.19338048792584,-2.24029774457623,0.509494509442338,-4.39709889519384,1.09707366744754e-05,0.00188296802828729
"SNORA80A",3.11309745089063,-1.89729310392454,0.486172646363665,-3.90250895050425,9.52007166765764e-05,0.00940513788735633
"RNA5SP242",1.62480276962251,-3.1537724960445,0.653538867589527,-4.82568467224708,1.39523111811412e-06,0.000368682294736199
"RNY1",44.2525258113867,-2.10922405856495,0.506872986620794,-4.16124771735551,3.1651352585497e-05,0.00438699690741625
"RNA5SP202",4.19606582234736,-1.85192830859794,0.53891909714793,-3.43637536394372,0.000589553540846058,0.0301906668907059
"RNA5SP141",7.91013365889511,-2.96150822634383,0.633337368170182,-4.67603583047709,2.92473526925547e-06,0.00067140954024846
"RNU6-915P",0.908337388105692,-1.57505450456372,0.377493730010176,-4.17239911381113,3.01409069214876e-05,0.00420941259021384
"RNA5SP355",1.86765577153965,-2.76169814249224,0.691263050590585,-3.99514792542833,6.46538717575767e-05,0.00686240115992322
"RNA5SP211",1.96843463653731,-3.98759196963539,1.14324843019343,-3.48794878201644,0.000486741309148915,0.0268036106222484
"RNU4-2",69.5770928837156,-2.07806370020458,0.26393636108773,-7.87335133227001,3.45265305117901e-15,2.69821162914479e-12
"HSD3BP4",1.39039542470297,-1.19443499890307,0.263709063013683,-4.52936651191654,5.91607972241015e-06,0.00119394290222047
"PSG5",0.720594008423365,-1.3992119774916,0.417122785210829,-3.3544366961023,0.000795267472454041,0.0367212468852853
"CDKL4",2.42438292926036,-1.06490643910182,0.206448775232067,-5.15821146385962,2.49319947168813e-07,7.89441522371595e-05
"LINC01597",9.48079819604304,-1.04322860357163,0.183736515798216,-5.6778512373519,1.36397253308522e-08,5.62906866744047e-06
"GYG2P1",55.2704246373427,-7.99063342637278,0.209841526928763,-38.0793713395224,0,0
"SNORA54",6.22826270130077,-1.86580765555745,0.3696364960157,-5.047682454706,4.4720162244367e-07,0.000129336343246898
"SNORA37",2.26457928060428,-1.48087543294103,0.384273878997403,-3.85369788028459,0.000116347148756397,0.0109294904701342
"SNORA20",3.49347180741928,-1.24380956209006,0.252639836215679,-4.92325193334994,8.5117756491135e-07,0.000233311581785029
"SNORA46",2.83695858348077,-1.86515468432791,0.294385602248886,-6.3357537531711,2.36183747725822e-10,1.17230122350938e-07
