"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LGALS14",1.99350629609794,1.47391946398595,0.3517809504171,4.18987856573344,2.79103779745817e-05,0.00394287762694764
"APOB",51.5162259287983,1.11563068953306,0.268469801586128,4.15551649735606,3.24553524092767e-05,0.00442706799888826
"MLN",2.13797683140002,1.71427409077091,0.357247275281961,4.79856449406901,1.5980685090568e-06,0.000413359551673636
"MAGEB2",4.73167372193162,3.13509847542832,0.487491347802118,6.43108537118268,1.26695972768362e-10,6.37471654764649e-08
"AQP8",1116.02839138214,1.59393737272558,0.271774787272948,5.86491995346411,4.49349420627709e-09,1.98850653248864e-06
"APOA4",7.09359689579953,3.56432524552757,0.454676088402638,7.83926257932259,4.53199971958914e-15,3.39714999388794e-12
"APOC3",2.61551605933707,1.35425094780939,0.397451479388616,3.4073365380161,0.000656001883034541,0.0327491497166225
"VNN1",439.54414101711,1.01925573886201,0.179503264009406,5.67820170004598,1.36118154343271e-08,5.62906866744047e-06
"KCNJ13",9.94500939286233,1.75279338615664,0.324858108039753,5.39556607262561,6.83078495078092e-08,2.39766635125854e-05
"APOA1",30.0829292517244,1.65610164879577,0.207879498060024,7.9666425224751,1.63043426470752e-15,1.30186631614581e-12
"SLC10A2",4.23966393704359,1.70953816277548,0.483818589994305,3.53342802060501,0.000410207772355234,0.02434076167788
"G6PC",4.17081164971625,1.38880203245257,0.336962707845273,4.12153036558064,3.76363850304395e-05,0.00481667046051583
"MEP1B",67.7378831715925,1.35923516694764,0.201275549556939,6.75310622646256,1.44712906130969e-11,7.93329110774702e-09
"NXF3",89.9274500624671,1.7042727078873,0.23196504964471,7.34710987925835,2.02538366846527e-13,1.32843468112016e-10
"PLA2G2F",36.220352458778,1.05432864629658,0.223557804282572,4.71613437822072,2.40367712966459e-06,0.000578544547882097
"SERPINB7",23.6895825901097,1.35251741778173,0.242684685776943,5.57314695590172,2.50178358722145e-08,1.00978583690817e-05
"ANPEP",8463.7854504722,1.15136861212316,0.198600596724657,5.79740761665199,6.73478586002249e-09,2.94486529331698e-06
"IGF2",15842.4418853607,1.80914284939164,0.232353795204412,7.78615579659484,6.90787617664329e-15,5.07452583936216e-12
"MS4A10",5.59641711891129,2.13472422873898,0.308579822302045,6.91789959827466,4.5838896425411e-12,2.6307229151646e-09
"SLC6A19",129.978922348105,1.32573143376896,0.258942956411294,5.11978179342025,3.05889381699065e-07,9.44144284857703e-05
"AP001885.1",2.15856011858418,1.0465452818824,0.267823677092973,3.9075905955809,9.32210916697093e-05,0.00927916178056483
"TMIGD1",205.930234245009,1.35199423423799,0.297852788853848,4.5391357235248,5.64852713073786e-06,0.00115261334173334
"NXPH4",289.462436038281,1.16998059107019,0.215093445263369,5.43940606668706,5.34584855469173e-08,1.98336381226088e-05
"HIST1H1B",41.1893296959523,1.28524255933387,0.232455636085911,5.52897998506207,3.2209808687795e-08,1.25858114159863e-05
"MUC6",306.210411049944,1.99285191208529,0.24916700538217,7.99805700208449,1.2639785887394e-15,1.03168741254218e-12
"SLC36A2",1.11440069139389,1.16852778966242,0.308931822356167,3.78247789674198,0.000155274885178659,0.0131714700522221
"AC133561.1",2.83418480962752,1.01131085090437,0.246829998147301,4.09719587771032,4.18185031096283e-05,0.00522446809257363
"CSAG1",11.9991644050226,1.59172302930537,0.404463729412304,3.93539126887394,8.30612631940678e-05,0.00845108087844352
"HSD3B2",36.875504146786,1.63704752143922,0.293873495465271,5.57058580205538,2.53884246757747e-08,1.01360525906653e-05
"PCDHA8",1.22687981726677,1.19271385281787,0.284528419137453,4.19189709215543,2.76631479019984e-05,0.00392304024108264
"SERPINB4",3.60994584402066,1.71106308107966,0.383118088858587,4.46615059648419,7.96395597551251e-06,0.00144096602453485
